Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,1.270000,1.320000,1.260000,1.300000,1.300000,7744900
2019-04-23,1.310000,1.320000,1.260000,1.300000,1.300000,4874700
2019-04-24,1.310000,1.350000,1.290000,1.320000,1.320000,8000100
2019-04-25,1.320000,1.350000,1.280000,1.300000,1.300000,4699900
2019-04-26,1.300000,1.370000,1.280000,1.360000,1.360000,5354100
2019-04-29,1.360000,1.360000,1.320000,1.330000,1.330000,5379800
2019-04-30,1.340000,1.370000,1.290000,1.370000,1.370000,9903400
2019-05-01,1.330000,1.350000,1.310000,1.320000,1.320000,5524600
2019-05-02,1.310000,1.330000,1.290000,1.320000,1.320000,4262600
2019-05-03,1.320000,1.350000,1.300000,1.350000,1.350000,3952700
2019-05-06,1.300000,1.320000,1.300000,1.300000,1.300000,4710300
2019-05-07,1.300000,1.310000,1.240000,1.260000,1.260000,7344800
2019-05-08,1.260000,1.330000,1.250000,1.320000,1.320000,5641600
2019-05-09,1.310000,1.320000,1.260000,1.280000,1.280000,5879900
2019-05-10,1.280000,1.290000,1.230000,1.260000,1.260000,6933500
2019-05-13,1.240000,1.250000,1.130000,1.200000,1.200000,10987500
2019-05-14,1.210000,1.260000,1.200000,1.260000,1.260000,4347000
2019-05-15,1.240000,1.260000,1.210000,1.240000,1.240000,8288300
2019-05-16,1.220000,1.250000,1.180000,1.190000,1.190000,8272000
2019-05-17,1.190000,1.220000,1.130000,1.140000,1.140000,11159200
2019-05-20,1.150000,1.170000,1.050000,1.150000,1.150000,19103100
2019-05-21,1.060000,1.080000,1.020000,1.070000,1.070000,14114100
2019-05-22,1.060000,1.080000,1.000000,1.010000,1.010000,9053800
2019-05-23,0.990000,1.010000,0.880000,0.910000,0.910000,20727300
2019-05-24,0.930000,0.940000,0.910000,0.930000,0.930000,7235800
2019-05-28,0.910000,0.950000,0.900000,0.900000,0.900000,9284600
2019-05-29,0.900000,0.910000,0.800000,0.830000,0.830000,15934500
2019-05-30,0.830000,0.890000,0.830000,0.880000,0.880000,7371000
2019-05-31,0.860000,0.890000,0.830000,0.850000,0.850000,12916200
2019-06-03,0.850000,0.890000,0.840000,0.880000,0.880000,7414400
2019-06-04,0.870000,1.030000,0.860000,1.030000,1.030000,11192700
2019-06-05,1.030000,1.030000,0.960000,1.020000,1.020000,6496700
2019-06-06,0.990000,1.020000,0.950000,1.000000,1.000000,10027400
2019-06-07,0.990000,1.020000,0.980000,0.990000,0.990000,9593200
2019-06-10,1.000000,1.030000,0.980000,1.020000,1.020000,7750200
2019-06-11,1.050000,1.100000,1.010000,1.030000,1.030000,17693200
2019-06-12,1.030000,1.080000,1.020000,1.060000,1.060000,3565600
2019-06-13,1.060000,1.130000,1.060000,1.130000,1.130000,4731100
2019-06-14,1.130000,1.170000,1.110000,1.120000,1.120000,5398900
2019-06-17,1.130000,1.170000,1.110000,1.120000,1.120000,5885900
2019-06-18,1.130000,1.170000,1.120000,1.170000,1.170000,7807000
2019-06-19,1.170000,1.220000,1.140000,1.210000,1.210000,8277400
2019-06-20,1.230000,1.250000,1.180000,1.220000,1.220000,8593500
2019-06-21,1.220000,1.240000,1.180000,1.200000,1.200000,15316100
2019-06-24,1.210000,1.220000,1.080000,1.090000,1.090000,7206200
2019-06-25,1.090000,1.100000,1.050000,1.070000,1.070000,4916900
2019-06-26,1.070000,1.150000,1.050000,1.140000,1.140000,6494200
2019-06-27,1.130000,1.130000,1.080000,1.100000,1.100000,4736300
2019-06-28,1.110000,1.140000,1.100000,1.140000,1.140000,8807300
2019-07-01,1.170000,1.190000,1.150000,1.170000,1.170000,4166300
2019-07-02,1.150000,1.160000,1.090000,1.110000,1.110000,3897200
2019-07-03,1.100000,1.140000,1.080000,1.110000,1.110000,3007900
2019-07-05,1.090000,1.160000,1.080000,1.160000,1.160000,5624700
2019-07-08,1.150000,1.180000,1.130000,1.150000,1.150000,2833600
2019-07-09,1.130000,1.160000,1.120000,1.130000,1.130000,2487200
2019-07-10,1.130000,1.150000,1.110000,1.130000,1.130000,3467200
2019-07-11,1.130000,1.170000,1.120000,1.150000,1.150000,4840000
2019-07-12,1.150000,1.180000,1.150000,1.160000,1.160000,2736800
2019-07-15,1.160000,1.180000,1.140000,1.150000,1.150000,2362800
2019-07-16,1.140000,1.170000,1.130000,1.140000,1.140000,2838300
2019-07-17,1.130000,1.150000,1.130000,1.140000,1.140000,1436200
2019-07-18,1.120000,1.130000,1.070000,1.080000,1.080000,3684700
2019-07-19,0.980000,1.000000,0.880000,0.900000,0.900000,22407500
2019-07-22,0.940000,0.940000,0.810000,0.820000,0.820000,19709900
2019-07-23,0.830000,0.840000,0.780000,0.790000,0.790000,18205100
2019-07-24,0.790000,0.850000,0.760000,0.840000,0.840000,17862000
2019-07-25,0.850000,0.870000,0.810000,0.820000,0.820000,14274200
2019-07-26,0.830000,0.840000,0.770000,0.790000,0.790000,11245400
2019-07-29,0.810000,0.810000,0.750000,0.750000,0.750000,13316300
2019-07-30,0.750000,0.800000,0.720000,0.790000,0.790000,8702500
2019-07-31,0.800000,0.820000,0.790000,0.800000,0.800000,7579900
2019-08-01,0.800000,0.800000,0.720000,0.720000,0.720000,16010600
2019-08-02,0.730000,0.740000,0.710000,0.720000,0.720000,8646900
2019-08-05,0.720000,0.730000,0.650000,0.680000,0.680000,12803100
2019-08-06,0.680000,0.680000,0.610000,0.650000,0.650000,8161900
2019-08-07,0.640000,0.650000,0.620000,0.640000,0.640000,5735700
2019-08-08,0.650000,0.700000,0.630000,0.690000,0.690000,8413200
2019-08-09,0.670000,0.670000,0.600000,0.600000,0.600000,8356000
2019-08-12,0.610000,0.610000,0.580000,0.590000,0.590000,5297500
2019-08-13,0.590000,0.640000,0.530000,0.600000,0.600000,15121200
2019-08-14,0.570000,0.580000,0.550000,0.570000,0.570000,12618400
2019-08-15,0.640000,0.650000,0.560000,0.580000,0.580000,14444500
2019-08-16,0.580000,0.620000,0.540000,0.610000,0.610000,9208300
2019-08-19,0.610000,0.620000,0.590000,0.590000,0.590000,7217700
2019-08-20,0.640000,0.680000,0.600000,0.610000,0.610000,11504600
2019-08-21,0.650000,0.650000,0.600000,0.600000,0.600000,9616200
2019-08-22,0.620000,0.640000,0.580000,0.580000,0.580000,10079900
2019-08-23,0.590000,0.590000,0.550000,0.550000,0.550000,12378600
2019-08-26,0.570000,0.600000,0.550000,0.570000,0.570000,9755100
2019-08-27,0.590000,0.600000,0.560000,0.580000,0.580000,10301200
2019-08-28,0.570000,0.650000,0.570000,0.640000,0.640000,12038900
2019-08-29,0.680000,0.830000,0.680000,0.730000,0.730000,36794900
2019-08-30,0.770000,0.820000,0.710000,0.740000,0.740000,14627900
2019-09-03,0.760000,0.760000,0.690000,0.710000,0.710000,6816200
2019-09-04,0.730000,0.750000,0.710000,0.720000,0.720000,7187400
2019-09-05,0.740000,0.780000,0.720000,0.750000,0.750000,10022500
2019-09-06,0.780000,0.800000,0.760000,0.770000,0.770000,7262900
2019-09-09,0.790000,0.850000,0.780000,0.850000,0.850000,11900200
2019-09-10,0.870000,1.020000,0.860000,1.010000,1.010000,27899400
2019-09-11,1.060000,1.260000,1.030000,1.250000,1.250000,39040100
2019-09-12,1.250000,1.250000,1.040000,1.110000,1.110000,30089300
2019-09-13,1.100000,1.100000,0.960000,0.970000,0.970000,18232300
2019-09-16,0.980000,0.980000,0.910000,0.940000,0.940000,12353300
2019-09-17,0.970000,0.970000,0.840000,0.890000,0.890000,18019400
2019-09-18,0.870000,0.890000,0.830000,0.840000,0.840000,13151600
2019-09-19,0.850000,0.860000,0.800000,0.810000,0.810000,14523000
2019-09-20,0.840000,0.960000,0.810000,0.950000,0.950000,27281800
2019-09-23,0.940000,0.950000,0.860000,0.900000,0.900000,10247800
2019-09-24,0.900000,0.920000,0.840000,0.840000,0.840000,10170500
2019-09-25,0.850000,0.880000,0.830000,0.880000,0.880000,7636400
2019-09-26,0.900000,0.900000,0.840000,0.860000,0.860000,6257700
2019-09-27,0.880000,0.910000,0.860000,0.900000,0.900000,7208300
2019-09-30,0.900000,0.910000,0.880000,0.890000,0.890000,4915600
2019-10-01,0.910000,0.930000,0.860000,0.860000,0.860000,8795600
2019-10-02,0.880000,0.890000,0.850000,0.890000,0.890000,5513900
2019-10-03,0.860000,0.950000,0.860000,0.940000,0.940000,6426000
2019-10-04,0.940000,0.960000,0.900000,0.920000,0.920000,4975200
2019-10-07,0.930000,1.030000,0.930000,1.010000,1.010000,9953100
2019-10-08,0.980000,1.000000,0.950000,0.960000,0.960000,7133100
2019-10-09,1.000000,1.010000,0.960000,0.990000,0.990000,4555700
2019-10-10,0.990000,1.010000,0.960000,0.970000,0.970000,2687100
2019-10-11,0.980000,1.030000,0.980000,1.000000,1.000000,7158600
2019-10-14,1.000000,1.020000,0.980000,0.990000,0.990000,3448100
2019-10-15,0.990000,1.040000,0.990000,1.010000,1.010000,3872400
